popularity,budget,revenue,original_title,cast,director,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
1.640256,163000000,174822325,Cowboys & Aliens,Daniel Craig|Olivia Wilde|Harrison Ford|Sam Rockwell|Walton Goggins,Jon Favreau,119,7/29/11,1363,5.4,2011,158011880.94241,169472419.65629
1.592819,66000000,177584879,War Horse,Tom Hiddleston|Benedict Cumberbatch|Toby Kebbell|Emily Watson|Jeremy Irvine,Steven Spielberg,146,12/25/11,611,6.9,2011,63980270.8110371,172150434.096443
1.531633,8000000,39187783,50/50,Joseph Gordon-Levitt|Seth Rogen|Anna Kendrick|Bryce Dallas Howard|Anjelica Huston,Jonathan Levine,100,9/30/11,773,6.8,2011,7755184.34073177,37988560.1336993
1.499109,135000000,245724603,Rango,Johnny Depp|Isla Fisher|Ned Beatty|Bill Nighy|Alfred Molina,Gore Verbinski,107,3/2/11,1385,6.5,2011,130868735.749848,238204949.164766
1.493933,52000000,75450437,The Change-Up,Olivia Wilde|Ryan Reynolds|Jason Bateman|Leslie Mann|Mircea Monroe,David Dobkin,112,8/5/11,440,5.9,2011,50408698.2147565,73141505.9404712
1.488615,170000000,185770160,Hugo,Asa Butterfield|ChloÃ« Grace Moretz|Ben Kingsley|Sacha Baron Cohen|Jude Law,Martin Scorsese,126,11/22/11,1257,6.8,2011,164797667.24055,180085229.475904
1.482692,40000000,85412898,The Lincoln Lawyer,Matthew McConaughey|Marisa Tomei|Ryan Phillippe|William H. Macy|Josh Lucas,Brad Furman,119,3/17/11,582,6.9,2011,38775921.7036588,82799096.133265
1.481016,57000000,149217355,Ghost Rider: Spirit of Vengeance,Nicolas Cage|CiarÃ¡n Hinds|Violante Placido|Fergus Riordan|Johnny Whitworth,Mark Neveldine|Brian Taylor,95,12/10/11,752,4.7,2011,55255688.4277139,144651011.857676
1.470363,15000000,59389433,One Day,Anne Hathaway|Jim Sturgess|Patricia Clarkson|Romola Garai|Heida Reed,Lone Scherfig,107,3/2/11,591,6.9,2011,14540970.638872,57572000.1008174
1.46909,66000000,57777106,Killer Elite,Jason Statham|Clive Owen|Robert De Niro|Dominic Purcell|Yvonne Strahovski,Gary McKendry,116,9/23/11,440,6.0,2011,63980270.8110371,56009013.463
1.465299,37000000,96047633,The Rite,Anthony Hopkins|Colin O'Donoghue|Alice Braga|Toby Jones|CiarÃ¡n Hinds,Mikael HÃ¥fstrÃ¶m,114,1/28/11,320,5.7,2011,35867727.5758844,93108387.4257441
1.425344,30000000,14460000,Winnie the Pooh,Jim Cummings|Travis Oates|Jim Cummings|Bud Luckey|Craig Ferguson,Stephen Anderson|Don Hall,63,4/13/11,174,6.8,2011,29081941.2777441,14017495.6958726
1.407986,75000000,132274484,The Three Musketeers,Milla Jovovich|Orlando Bloom|Logan Lerman|Ray Stevenson|Matthew Macfadyen,Paul W.S. Anderson,110,8/31/11,589,5.5,2011,72704853.1943604,128226625.874397
1.388994,8000000,1749457,Chalet Girl,Felicity Jones|Ed Westwick|Brooke Shields|Bill Nighy|Tamsin Egerton,Phil Traill,96,2/2/11,108,6.2,2011,7755184.34073177,1695920.19139794
1.367727,30000000,151119219,Midnight in Paris,Owen Wilson|Rachel McAdams|Kurt Fuller|Mimi Kennedy|Michael Sheen,Woody Allen,94,5/11/11,1117,7.2,2011,29081941.2777441,146494675.096552
1.344998,60000000,78309131,Priest,Paul Bettany|Cam Gigandet|Karl Urban|Lily Collins|Maggie Q,Scott Stewart,87,5/5/11,439,5.3,2011,58163882.5554883,75912718.3084392
1.285106,12000000,22939027,Young Adult,Charlize Theron|Patton Oswalt|Patrick Wilson|Elizabeth Reaser|Collette Wolfe,Jason Reitman,94,12/16/11,219,5.2,2011,11632776.5110976,22237047.8727529
1.246852,25000000,23057115,Warrior,Tom Hardy|Jennifer Morrison|Nick Nolte|Joel Edgerton|Frank Grillo,Gavin O'Connor,140,9/9/11,768,7.6,2011,24234951.0647868,22351522.1488064
1.246595,35000000,82087155,Abduction,Taylor Lautner|Lily Collins|Alfred Molina|Jason Isaacs|Maria Bello,John Singleton,106,9/22/11,631,5.5,2011,33928931.4907015,79575127.3789028
1.246283,30000000,130786397,Unknown,Liam Neeson|Diane Kruger|January Jones|Aidan Quinn|Bruno Ganz,Jaume Collet-Serra,113,2/16/11,779,6.4,2011,29081941.2777441,126784077.249391
1.241191,50200000,127869379,The Adjustment Bureau,Matt Damon|Emily Blunt|John Slattery|Anthony Mackie|Lauren Hodges,George Nolfi,106,3/3/11,1097,6.4,2011,48663781.7380919,123956325.709987
1.240414,75000000,226904017,Immortals,Mickey Rourke|Kellan Lutz|Isabel Lucas|Henry Cavill|Luke Evans,Tarsem Singh,110,11/10/11,596,5.6,2011,72704853.1943604,219960309.935942
1.22871,250000,3542353,Like Crazy,Anton Yelchin|Felicity Jones|Jennifer Lawrence|Charlie Bewley|Alex Kingston,Drake Doremus,90,10/28/11,257,6.4,2011,242349.510647868,3433950.06436803
1.21550499999999,30000000,36160375,Larry Crowne,Tom Hanks|Julia Roberts|Bryan Cranston|Cedric the Entertainer|Pam Grier,Tom Hanks,98,6/30/11,218,5.6,2011,29081941.2777441,35053796.7443736
1.21340499999999,40000000,97552050,Paul,Seth Rogen|Simon Pegg|Nick Frost|Jason Bateman|Kristen Wiig,Greg Mottola,104,2/14/11,1143,6.4,2011,38775921.7036588,94566766.3207854
1.205338,40000000,60965854,Colombiana,Zoe Saldana|Cliff Curtis|Callum Blue|Michael Vartan|Lennie James,Olivier Megaton,108,7/27/11,554,6.5,2011,38775921.7036588,59100179.5325174
1.19533,70000000,202466756,Battle: Los Angeles,Aaron Eckhart|RamÃ³n RodrÃ­guez|Will Rothhaar|Cory Hardrict|Jim Parrack,Jonathan Liebesman,116,3/8/11,1041,5.5,2011,67857862.981403,196270876.956245
1.176723,47000000,157887643,Final Destination 5,Emma Bell|Nicholas D'Agosto|Miles Fisher|Ellen Wroe|Jacqueline MacInnes Wood,Steven Quale,92,8/12/11,493,5.9,2011,45561708.0017992,153055972.073581
1.128994,30000000,2527904,Machine Gun Preacher,Gerard Butler|Michelle Monaghan|Justin Michael Brandt|Richard Goteri|Peter Carey,Marc Forster,129,9/23/11,166,6.4,2011,29081941.2777441,2450545.18945915
1.123666,79000000,149673788,Jack and Jill,Adam Sandler|Katie Holmes|Al Pacino|Eugenio Derbez|Tim Meadows,Dennis Dugan,91,11/11/11,371,4.2,2011,76582445.3647263,145093477.114451
1.120851,20000000,30426096,What's Your Number?,Chris Evans|Anna Faris|Martin Freeman|Chris Pratt|Ari Graynor,Mark Mylod,106,9/30/11,390,6.2,2011,19387960.8518294,29494997.9061002
1.11981,40000000,88100000,Season of the Witch,Nicolas Cage|Ron Perlman|Ulrich Thomsen|Christopher Lee|Fernanda Dorogi,Dominic Sena,95,1/7/11,453,5.2,2011,38775921.7036588,85403967.5523087
1.116674,6400000,35057696,My Week with Marilyn,Michelle Williams|Eddie Redmayne|Kenneth Branagh|Julia Ormond|Judi Dench,Simon Curtis,99,10/17/11,212,6.7,2011,6204147.47258542,33984861.8801668
1.111078,50000000,120081841,We Bought a Zoo,Matt Damon|Scarlett Johansson|Thomas Haden Church|Colin Ford|Maggie Elizabeth Jones,Cameron Crowe,124,12/22/11,589,6.4,2011,48469902.1295736,116407101.61618
1.107689,30000000,64626786,The Darkest Hour,Emile Hirsch|Rachael Taylor|Olivia Thirlby|Joel Kinnaman|Max Minghella,Chris Gorak,89,12/25/11,309,4.7,2011,29081941.2777441,62649079.8473779
1.105855,25000000,124272124,The Help,Emma Stone|Viola Davis|Octavia Spencer|Bryce Dallas Howard|Jessica Chastain,Tate Taylor,146,8/9/11,1056,7.6,2011,24234951.0647868,120469153.754284
1.102011,25000000,77278331,The Grey,Liam Neeson|Dermot Mulroney|Frank Grillo|Dallas Roberts|Joe Anderson,Joe Carnahan,117,12/11/11,955,6.3,2011,24234951.0647868,74913462.8061359
1.081676,50000000,110206216,Moneyball,Brad Pitt|Jonah Hill|Robin Wright|Philip Seymour Hoffman|Chris Pratt,Bennett Miller,133,9/22/11,899,6.9,2011,48469902.1295736,106833690.071813
1.079441,7000000,6038942,We Need to Talk About Kevin,John C. Reilly|Tilda Swinton|Ezra Miller|Siobhan Fallon|Jasper Newell,Lynne Ramsay,112,9/28/11,345,7.3,2011,6785786.2981403,5854138.55412343
1.074793,16000000,40492759,The Roommate,Minka Kelly|Leighton Meester|Cam Gigandet|Aly Michalka|Matt Lanter,Christian E. Christiansen,91,2/4/11,133,5.5,2011,15510368.6814635,39253601.3137282
1.071695,130000000,554987477,Puss in Boots,Antonio Banderas|Salma Hayek|Zach Galifianakis|Billy Bob Thornton|Amy Sedaris,Chris Miller,90,10/28/11,48,6.9,2011,126021745.536891,538003773.866579
1.058342,120000000,227817248,The Green Hornet,Seth Rogen|Jay Chou|Christoph Waltz|Cameron Diaz|Edward Furlong,Michel Gondry,119,1/12/11,854,5.4,2011,116327765.110976,220845594.279776
1.055533,35000000,59901913,Something Borrowed,Kate Hudson|Ginnifer Goodwin|John Krasinski|Colin Egglesfield|Ashley Williams,Luke Greenfield,112,5/5/11,180,6.0,2011,33928931.4907015,58068797.2096846
1.054256,90000000,48795021,Conan the Barbarian,Jason Momoa|Rose McGowan|Rachel Nichols|Ron Perlman|Stephen Lang,Marcus Nispel,113,8/17/11,382,5.2,2011,87245823.8332325,47301797.8456097
1.048895,45000000,160078586,Johnny English Reborn,Rowan Atkinson|Dominic West|Gillian Anderson|Rosamund Pike|Roger Barclay,Oliver Parker,101,9/15/11,689,6.0,2011,43622911.9166162,155179867.92921
1.045866,60000000,135458097,Contagion,Matt Damon|Gwyneth Paltrow|Kate Winslet|Jude Law|Marion Cotillard,Steven Soderbergh,106,9/8/11,852,6.1,2011,58163882.5554883,131312814.084965
1.038162,41000000,7448385,The Big Year,Owen Wilson|Steve Martin|Jack Black|Rashida Jones|Jim Parsons,David Frankel,100,10/14/11,152,5.4,2011,39745319.7462503,7220449.83946768
1.029084,17000000,43165571,Beastly,Alex Pettyfer|Vanessa Hudgens|Mary-Kate Olsen|Lisa Gay Hamilton|Neil Patrick Harris,Daniel Barnz,86,1/21/11,507,6.0,2011,16479766.724055,41844620.0347432
1.024786,19000000,35387212,A Very Harold & Kumar Christmas,Neil Patrick Harris|John Cho|Elias Koteas|Danneel Ackles|Kal Penn,Todd Strauss-Schulson,108,11/4/11,186,6.0,2011,18418562.8092379,34304294.0455694
1.013771,35000000,28128670,The Thing,Mary Elizabeth Winstead|Joel Edgerton|Ulrich Thomsen|Eric Christian Olsen|Adewale Akinnuoye-Agbaje,Matthijs van Heijningen Jr.,103,10/12/11,479,6.0,2011,33928931.4907015,27267877.6387014
1.013101,75000000,152930623,Tower Heist,Ben Stiller|Eddie Murphy|Casey Affleck|Alan Alda|Matthew Broderick,Brett Ratner,104,11/2/11,588,5.8,2011,72704853.1943604,148250646.588494
1.011185,56000000,142044638,New Year's Eve,Robert De Niro|Katherine Heigl|Ashton Kutcher|Carla Gugino|Lea Michele,Garry Marshall,118,12/8/11,479,5.6,2011,54286290.3851224,137697794.037814
1.004841,49900000,26121638,Your Highness,Danny McBride|James Franco|Natalie Portman|Zooey Deschanel|Justin Theroux,David Gordon Green,102,4/8/11,289,5.1,2011,48372962.3253144,25322264.746483
0.941604,5000000,25562924,Apollo 18,Ryan Robbins|Warren Christie|Lloyd Owen|Andrew Airlie|Michael Kopsa,Gonzalo LÃ³pez-Gallego,86,7/20/11,205,4.9,2011,4846990.21295736,24780648.4885145
0.93488,17000000,24922237,Fright Night,Anton Yelchin|Colin Farrell|Toni Collette|Christopher Mintz-Plasse|David Tennant,Craig Gillespie,106,8/18/11,328,6.1,2011,16479766.724055,24159567.7648007
0.93092,130000000,150406466,Happy Feet Two,Elijah Wood|Robin Williams|Pink|E.G. Daily|Johnny A. Sanchez,George Miller,100,11/17/11,232,5.8,2011,126021745.536891,145803733.7335
0.929466,40000000,97138686,Scream 4,David Arquette|Neve Campbell|Courteney Cox|Emma Roberts|Hayden Panettiere,Wes Craven,111,4/11/11,499,6.0,2011,38775921.7036588,94166052.0683076
0.921653,150000000,38992758,Mars Needs Moms,Seth Green|Joan Cusack|Dan Fogler|Breckin Meyer|Elisabeth Harnois,Simon Wells,88,3/9/11,129,5.5,2011,145409706.38872,37799503.2804429
0.91973,14350531,3964682,Attack the Block,Nick Frost|Jodie Whittaker|John Boyega|Luke Treadaway|Flaminia Cinque,Joe Cornish,88,5/12/11,427,6.4,2011,13911376.6615482,3843354.97029764
0.917718,21000000,72417394,Diary of a Wimpy Kid: Rodrick Rules,Zachary Gordon|Devon Bostick|Rachael Harris|Robert Capron|Steve Zahn,David Bowers,99,3/25/11,127,6.4,2011,20357358.8944209,70201279.9931754
0.907952,40000000,55247881,Extremely Loud & Incredibly Close,Thomas Horn|Tom Hanks|Sandra Bullock|Max von Sydow|John Goodman,Stephen Daldry,129,12/24/11,463,7.0,2011,38775921.7036588,53557187.6987265
0.904531,75000000,342695435,Alvin and the Chipmunks: Chipwrecked,Jason Lee|David Cross|Jenny Slate|Andy Buckley|Justin Long,Mike Mitchell,87,12/14/11,308,5.5,2011,72704853.1943604,332208283.894033
0.903312,21000000,970816,The Beaver,Jodie Foster|Mel Gibson|Jennifer Lawrence|Anton Yelchin|Zachary Booth,Jodie Foster,91,2/11/11,144,6.0,2011,20357358.8944209,941107.130116482
0.897265,25000000,10324441,Straw Dogs,James Marsden|Kate Bosworth|Alexander SkarsgÃ¥rd|Laz Alonso|Dominic Purcell,Rod Lurie,110,9/16/11,75,5.3,2011,24234951.0647868,10008492.8962511
0.895829,10000000,136836156,The Best Exotic Marigold Hotel,Bill Nighy|Maggie Smith|Tom Wilkinson|Judi Dench|Dev Patel,John Madden,124,11/28/11,310,6.8,2011,9693980.42591472,132648701.782141
0.879003,110000000,563749323,The Smurfs,Neil Patrick Harris|Jayma Mays|Anton Yelchin|Hank Azaria|Alan Cumming,Raja Gosnell,103,7/29/11,797,5.5,2011,106633784.685061,546497490.228467
0.863804,30000000,63782078,Hanna,Saoirse Ronan|Eric Bana|Vicky Krieps|Cate Blanchett|Tom Hollander,Joe Wright,111,4/7/11,804,6.5,2011,29081941.2777441,61830221.5656166
0.852907,12468389,29007412,A Few Best Men,Rebel Wilson|Xavier Samuel|Olivia Newton-John|Kris Marshall|Kevin Bishop,Stephan Elliott,97,10/14/11,87,5.7,2011,12086831.890869,28119728.4134443
0.846187999999999,5000000,3142154,Flypaper,Patrick Dempsey|Ashley Judd|Tim Blake Nelson|Mekhi Phifer|Matt Ryan,Rob Minkoff,87,8/19/11,153,6.1,2011,4846990.21295736,3045997.93712096
0.846125,3500000,19504039,Margin Call,Kevin Spacey|Paul Bettany|Jeremy Irons|Zachary Quinto|Ashley Williams,J.C. Chandor,107,9/28/11,313,6.6,2011,3392893.14907015,18907177.2292277
0.827785,36000000,189712432,Gnomeo & Juliet,James McAvoy|Michael Caine|Maggie Smith|Julie Walters|Patrick Stewart,Kelly Asbury,84,1/13/11,335,5.7,2011,34898329.533293,183906860.236067
0.815155,15774948,741875,Blitz,Jason Statham|Paddy Considine|Aidan Gillen|Zawe Ashton|Luke Evans,Elliott Lester,97,5/20/11,309,6.0,2011,15292203.7131822,719172.172847548
0.808335999999999,20000000,177243185,The Descendants,George Clooney|Shailene Woodley|Amara Miller|Nick Krause|Robert Forster,Alexander Payne,115,9/9/11,590,6.6,2011,19387960.8518294,171819196.601678
0.806735,63000000,183953723,Hop,Russell Brand|James Marsden|Kaley Cuoco|Hank Azaria|Elizabeth Perkins,Tim Hill,95,3/30/11,228,5.4,2011,61072076.6832627,178324379.003613
0.806361,45000000,24000000,The Rum Diary,Johnny Depp|Amber Heard|Aaron Eckhart|Michael Rispoli|Giovanni Ribisi,Bruce Robinson,120,10/13/11,234,5.5,2011,43622911.9166162,23265553.0221953
0.802769,6000000,19560274,The Guard,Brendan Gleeson|Don Cheadle|Liam Cunningham|Mark Strong|Katarina Cas,John Michael McDonagh,96,7/7/11,194,6.6,2011,5816388.25554883,18961691.3281528
0.80048,10000000,17273593,Our Idiot Brother,Paul Rudd|Elizabeth Banks|Zooey Deschanel|Emily Mortimer|Adam Scott,Jesse Peretz,90,8/26/11,199,5.7,2011,9693980.42591472,16744987.2427217
0.786615,10000000,610986,The Ledge,Patrick Wilson|Liv Tyler|Charlie Hunnam|Terrence Howard|Jaqueline Fleming,Matthew Chapman,101,5/6/11,44,5.7,2011,9693980.42591472,592288.632450793
0.785489,24000000,63543328,Footloose,Kenny Wormald|Julianne Hough|Dennis Quaid|Andie MacDowell|Miles Teller,Craig Brewer,113,10/6/11,266,6.5,2011,23265553.0221953,61598777.7829479
0.780318,36000000,9612469,Trespass,Nicolas Cage|Nicole Kidman|Liana Liberato|Cam Gigandet|Jordana Spiro,Joel Schumacher,91,10/14/11,179,5.3,2011,34898329.533293,9318308.6330712
0.779648,25000000,27603069,Carnage,Kate Winslet|Jodie Foster|Christoph Waltz|John C. Reilly|Elvis Polanski,Roman Polanski,80,9/16/11,382,6.9,2011,24234951.0647868,26758361.0581173
0.779536,100000,1776935,Another Earth,Brit Marling|William Mapother|Jordan Baker|Flint Beverage|Robin Lord Taylor,Mike Cahill,92,7/22/11,299,6.8,2011,96939.8042591472,1722557.31081227
0.771868,12500000,75993061,The Ides of March,Ryan Gosling|George Clooney|Philip Seymour Hoffman|Paul Giamatti|Marisa Tomei,George Clooney,101,9/24/11,591,6.4,2011,12117475.5323934,73667524.5839343
0.760502999999999,195000000,1123746996,Transformers: Dark of the Moon,Shia LaBeouf|John Malkovich|Ken Jeong|Frances McDormand|Josh Duhamel,Michael Bay,154,6/28/11,2456,6.1,2011,189032618.305337,1089358138.29044
0.760193,5000000,205703818,Paranormal Activity 3,Katie Featherston|Sprague Grayden|Lauren Bittner|Christopher Nicholas Smith|Chloe Csengery,Henry Joost|Ariel Schulman,83,10/19/11,406,6.0,2011,4846990.21295736,199408878.522792
0.747362,70000000,67112664,The Dilemma,Kevin James|Vince Vaughn|Winona Ryder|Jennifer Connelly|Queen Latifah,Ron Howard,111,1/13/11,204,5.2,2011,67857862.981403,65058885.1146991
0.734516,19000000,6928068,Take Me Home Tonight,Topher Grace|Anna Faris|Dan Fogler|Teresa Palmer|Michelle Trachtenberg,Michael Dowse,97,3/4/11,120,6.3,2011,18418562.8092379,6716055.55814061
0.70252,4000000,25345000,A Lonely Place to Die,Melissa George|Ed Speleers|Eamonn Walker|Alec Newman|Karel Roden,Julian Gilbey,99,4/9/11,77,6.1,2011,3877592.17036588,24569393.3894808
0.699052,45000000,165184237,The Muppets,Amy Adams|Jason Segel|Emily Blunt|John Krasinski|Zach Galifianakis,James Bobin,103,11/22/11,328,6.4,2011,43622911.9166162,160129276.014765
0.688697,27000000,85564310,Spy Kids: All the Time in the World,Jessica Alba|Mason Cook|Rowan Blanchard|Joel McHale|Jeremy Piven,Robert Rodriguez,89,8/18/11,125,4.5,2011,26173747.1499697,82945874.6296899
0.687144,9500000,120000,Trust,Clive Owen|Catherine Keener|Liana Liberato|Jason Clarke|Viola Davis,David Schwimmer,104,4/1/11,164,6.5,2011,9209281.40461898,116327.765110976
0.666454,17000000,12355798,Seeking Justice,Nicolas Cage|Guy Pearce|January Jones|Jennifer Carpenter|Harold Perrineau,Roger Donaldson,105,9/2/11,171,5.9,2011,16479766.724055,11977686.3958556
0.661177999999999,40000000,45735397,Arthur,Russell Brand|Helen Mirren|Greta Gerwig|Jennifer Garner|Geraldine James,Jason Winer,110,4/8/11,180,5.3,2011,38775921.7036588,44335804.3289439
0.658095,25000000,27122040,The Eagle,Channing Tatum|Mark Strong|Jamie Bell|Donald Sutherland|Denis O'Hare,Kevin Macdonald,114,2/8/11,252,5.9,2011,24234951.0647868,26292052.4870876
0.656612,25000000,34942188,The Sitter,Sam Rockwell|Jonah Hill|Max Records|Ari Graynor|J.B. Smoove,David Gordon Green,81,12/9/11,213,5.4,2011,24234951.0647868,33872888.6510632
0.644722999999999,2000000,42070,Rundskop,Matthias Schoenaerts|Jeroen Perceval|Jeanne Dandoy|Barbara Sarafian|Tibo Vandenborre,MichaÃ«l R. Roskam,124,2/2/11,56,7.5,2011,1938796.08518294,40782.5756518232
0.626306,15000000,868439,W.E.,Abbie Cornish|Andrea Riseborough|James D'Arcy|Richard Coyle|David Harbour,Madonna,119,9/1/11,43,5.8,2011,14540970.638872,841863.066710095
0.604152,750000,78396,The Innkeepers,Sara Paxton|Pat Healy|Kelly McGillis|George Riddle|Lena Dunham,Ti West,102,12/1/11,104,5.2,2011,727048.531943604,75996.928947001
0.601594,8000000,163265,Restless,Mia Wasikowska|Henry Hopper|Ryo Kase|Schuyler Fisk|Jane Adams,Gus Van Sant,91,9/16/11,93,6.3,2011,7755184.34073177,158268.771423696
0.597001,7700000,1072602,Coriolanus,Gerard Butler|Ralph Fiennes|Lubna Azabal|Ashraf Barhom|Jessica Chastain,Ralph Fiennes,123,2/14/11,76,5.7,2011,7464364.92795433,1039778.27927969
0.588821,35000000,84606030,J. Edgar,Leonardo DiCaprio|Armie Hammer|Naomi Watts|Judi Dench|Geoff Pierson,Clint Eastwood,137,11/9/11,428,5.8,2011,33928931.4907015,82016919.8734354
0.587044999999999,30000000,108609310,Sanctum,Ioan Gruffudd|Richard Roxburgh|Alice Parkinson|Daniel Wyllie|Allison Cratchley,Alister Grierson,108,2/3/11,193,5.7,2011,29081941.2777441,105285652.52121
0.58425,24000000,30551495,I Don't Know How She Does It,Sarah Jessica Parker|Pierce Brosnan|Sarah Shahi|Busy Philipps|Olivia Munn,Douglas McGrath,89,9/16/11,94,5.2,2011,23265553.0221953,29616559.4512431
0.580693999999999,15000000,27462041,A Dangerous Method,Keira Knightley|Viggo Mortensen|Michael Fassbender|Sarah Gadon|Vincent Cassel,David Cronenberg,99,9/30/11,308,5.9,2011,14540970.638872,26621648.7909667
0.578282,18000000,47088990,Soul Surfer,AnnaSophia Robb|Helen Hunt|Lorraine Nicholson|Carrie Underwood|Dennis Quaid,Sean McNamara,106,4/8/11,225,6.9,2011,17449164.7666465,45647974.7336094
0.570978,28000000,40547440,30 Minutes or Less,Jesse Eisenberg|Danny McBride|Aziz Ansari|Bianca Kajlich|Nick Swardson,Ruben Fleischer,83,8/11/11,337,5.5,2011,27143145.1925612,39306608.9680951
0.570634,4798235,209696,The Awakening,Rebecca Hall|Dominic West|Imelda Staunton|Isaac Hempstead Wright|Lucy Cohu,Nick Murphy ,107,8/17/11,243,6.2,2011,4651399.61689389,203278.891939261
0.566856,30000000,13521829,Hoodwinked Too! Hood VS. Evil,Hayden Panettiere|Bill Hader|Joan Cusack|Patrick Warburton|Glenn Close,Mike Disa,86,4/29/11,86,4.9,2011,29081941.2777441,13108034.5648566
0.539108,20000000,17479,5 Days of War,Rupert Friend|Val Kilmer|Andy GarcÃ­a|Dean Cain|Emmanuelle Chriqui,Renny Harlin,113,4/14/11,29,5.9,2011,19387960.8518294,16944.1083864563
0.530139,38000000,114156230,Water for Elephants,Robert Pattinson|Reese Witherspoon|Christoph Waltz|Tatum Etheridge|Hal Holbrook,Francis Lawrence,120,3/15/11,558,6.7,2011,36837125.6184759,110662825.911621
0.528255,50000000,38502340,Dream House,Daniel Craig|Naomi Watts|Rachel Weisz|Marton Csokas|Elias Koteas,Jim Sheridan,92,9/30/11,235,5.9,2011,48469902.1295736,37324093.0311913
0.524684,10000000,1759252,A Better Life,DemiÃ¡n Bichir|JosÃ© JuliÃ¡n|Chelsea Rendon|Dolores Heredia|JoaquÃ­n Cosio,Chris Weitz,98,6/24/11,27,6.6,2011,9693980.42591472,1705415.44522513
0.52043,1,1378,"Love, Wedding, Marriage",Mandy Moore|Kellan Lutz|Jessica Szohr|Autumn Federici|James Brolin,Dermot Mulroney,90,6/3/11,55,5.3,2011,0.969398042591472,1335.83050269104
0.512775,12000000,972512,Rampart,Woody Harrelson|Steve Buscemi|Ben Foster|Robin Wright|Jon Bernthal,Oren Moverman,108,12/10/11,63,5.2,2011,11632776.5110976,942751.229196718
0.509532,5000000,3099314,Take Shelter,Michael Shannon|Jessica Chastain|Katy Mixon|Shea Whigham|Ray McKinnon,Jeff Nichols,120,11/25/11,248,6.9,2011,4846990.21295736,3004468.92497634
0.506031,8000000,10130000,Prom,Aimee Teegarden|Thomas McDonell|Nicholas Braun|Faith Ford|Danielle Campbell,Joe Nussbaum,104,4/29/11,78,5.8,2011,7755184.34073177,9820002.17145161
0.49518,4317946,14624826,Pina,Regina Advento|Malou Airaudo|Ruth Amarante|Pina Bausch|Jorge Puerta,Wim Wenders,106,2/24/11,48,7.2,2011,4185808.40041567,14177277.6976408
0.487945,1000000,34522221,Courageous,Alex Kendrick|Ken Bevel|Ben Davies|Kevin Downes|Rusty Martin,Alex Kendrick,129,9/30/11,51,6.7,2011,969398.042591472,33465773.4633102
0.484734,40000000,5446000,Black Gold,Mark Strong|Antonio Banderas|Freida Pinto|Tahar Rahim|Riz Ahmed,Jean-Jacques Annaud,130,12/21/11,55,5.6,2011,38775921.7036588,5279341.73995315
0.482368,10000000,3665069,Killer Joe,Matthew McConaughey|Emile Hirsch|Thomas Haden Church|Gina Gershon|Juno Temple,William Friedkin,102,9/10/11,196,6.3,2011,9693980.42591472,3552910.71456268
0.475663,32000000,83615414,"Big Mommas: Like Father, Like Son",Portia Doubleday|Martin Lawrence|Brandon T. Jackson|Mari Morrow|Faizon Love,John Whitesell,107,2/16/11,223,5.4,2011,31020737.3629271,81056618.6620756
0.46351,93,2500000,From Prada to Nada,Camilla Belle|Alexa PenaVega|April Bowlby|Wilmer Valderrama|Nicholas D'Agosto,Angel Gracia,107,1/28/11,47,5.2,2011,90.1540179610069,2423495.10647868
0.455555,37000000,95404397,Dolphin Tale,Morgan Freeman|Ashley Judd|Harry Connick Jr.|Nathan Gamble|Kris Kristofferson,Charles Martin Smith,113,9/23/11,103,6.6,2011,35867727.5758844,92484835.7064197
0.44615,29000000,33662874,Xin shao lin si,Andy Lau|Nicholas Tse|Fan Bingbing|Jackie Chan|Wu Jing,Benny Chan,131,1/20/11,59,6.4,2011,28112543.2351527,32632724.1636033
0.436803,125000000,626137675,Fast Five,Vin Diesel|Paul Walker|Dwayne Johnson|Jordana Brewster|Tyrese Gibson,Justin Lin,130,4/20/11,1591,7.1,2011,121174755.323934,606976636.537775
0.434506,2500000,3358,Nuit Blanche,Tomer Sisley|Julien Boisselier|JoeyStarr|Serge Riaboukine|Laurent Stocker, FrÃ©dÃ©ric Jardin,98,11/14/11,28,5.9,2011,2423495.10647868,3255.23862702216
0.43132,10000000,303877,In the Land of Blood and Honey,Zana MarjanoviÄ‡|Goran KostiÄ‡|Branko ÄuriÄ‡|Dzana Pinjo|MiloÅ¡ TimotijeviÄ‡,Angelina Jolie,127,12/23/11,31,6.6,2011,9693980.42591472,294577.768988568
0.429826,4000000,355688,Another Happy Day,Ellen Barkin|Ezra Miller|Kate Bosworth|Demi Moore|George Kennedy,Sam Levinson,119,11/18/11,19,6.1,2011,3877592.17036588,344803.250973275
0.423412,6600000,37710610,Jumping the Broom,Paula Patton|Julie Bowen|Meagan Good|Mike Epps|Angela Bassett,Salim Akil,112,5/6/11,37,6.3,2011,6398027.08110371,36556591.5189304
0.419201,2000000,13101672,Silent House,Elizabeth Olsen|Adam Trese|Eric Sheffer Stevens|Julia Taylor Ross|Adam Barnett,Chris Kentis|Laura Lau,85,1/21/11,63,5.2,2011,1938796.08518294,12700735.1914755
0.414629,8000000,100915,Wuthering Heights,Kaya Scodelario|James Northcote|Amy Wren|Nichola Burley|Steve Evets,Andrea Arnold,129,9/5/11,36,5.6,2011,7755184.34073177,97826.8034681184
